1466 2204 44460 Greystones, Ireland
1466 2948 27502 Noordwijk, Netherlands
1903 1949 156357 Sulphur, LA
2594 1970 164010 Abbotsford, BC, Canada
555 235 119875 Durango, CO
2203 2616 23617 Worcester, England, UK
1320 1923 155052 Lewisburg, PA
76 1910 42212 Susice, Czech Republic
1144 1280 44477 Piracicaba, SP, Brazil
1047 654 120741 Rochester, MN
921 2675 62497 Gruver, TX
2612 1317 99358 Lebanon, OH
2376 587 99206 Martinsburg, WV
2516 863 63601 Tulsa, OK
2671 2613 55940 Ada, OK
2359 2320 44443 Logan, UT
1865 2567 78452 Amersfoort, Netherlands
2093 2122 42849 Rotorua, New Zealand
18 2399 7848 Centerport, NY
2201 2713 119735 Escanaba, MI
1819 2646 48645 Trevor, WI
160 2396 197432 Ede, Netherlands
686 1694 96994 Putte, Netherlands
704 2063 118837 Mszana Dolna, Poland
2348 2269 148607 Hemet, CA
86 42 33074 Port Alberni, BC, Canada
1371 75 198166 Galway, Ireland
2340 1389 16146 Fair Haven, VT
2879 553 22381 Vienna, Austria
840 1648 138187 Tempe, AZ
1291 94 10409 Mayaguez, PR
441 2082 70715 Hillsborough, Northern Ireland
2988 2388 6165 Karratha, W.Australia
378 2332 174633 Saint Helier, England
650 784 80581 Calgary, Canada
147 149 161361 Noblesville, IN
2701 233 109993 Warrensburg, MO
316 2257 54718 American Fork, UT
1367 2595 16420 Baden, Austria
2778 846 68604 Antioch, CA
1245 1552 86823 Fort McMurray, Canada
2134 1642 168985 Land O' Lakes, FL
2158 2429 169097 Columbia, IL
656 1958 52816 Paramaribo, Suriname
1562 1339 88372 San Mateus, E.S., Brazil
1655 2625 107125 Arlington, MA
750 384 19738 Waterford, MI
1977 447 183253 Ramstein, GermanyRancagua, Chile
1101 748 75944 Beaufort, NC
899 120 180032 Valdosta, GA
2804 1341 126696 Americus, GA
1596 179 117682 Liberia, Costa Rica
1232 2751 152202 Humacao, Puerto Rico
1526 353 16351 Portsmouth, OH
1925 2804 7724 Vejle, Denmark
2012 92 142110 North East, MD
2055 2854 132700 College Station, TX
2921 1640 173730 Jefferson Township, NJ
795 577 156453 Chamberlain, SD
2186 659 147517 Uist Islands, Scotland/England
2954 525 78475 Islamabad, Pakistan
1592 900 29661 Elizabeth City, NC
382 499 134846 Pretoria, South Africa
1775 2494 90932 Iquique, Chile
2125 922 59454 Eibiswald, Austria
189 649 32147 Dunedin, FL
14 1849 103039 Regina, SK, Canada
2612 1895 119140 Longview, TX
1915 170 81506 St-Georges de Beauce, QU, Canada
2996 2904 30874 Managua, Nicaragua
2577 1311 140319 Taylorsville, UT
466 1096 20249 Dexter, MO
392 992 94369 Slippery Rock, PA
2806 1469 20242 Corning, NY
835 2663 108691 Bound Brook, NJ
1710 1707 42639 Highland, NY
1139 2473 129593 Marlborough, England
1450 1081 151607 Ponta Delgada, Portugal
2658 2003 2654 Vads, Norway
850 103 161831 Newton, NC
1964 2245 24518 Toledo, Spain
889 1329 82129 Clearlake, CA
822 981 56511 Pullman, WA
1628 1543 171165 Blumenau, Brazil
1604 101 45390 Huntington Beach, CA
1438 1544 95884 Williamsport, PA
2563 2618 28829 Deer Park, OH
1185 2874 86290 Saint John's, NF, Canada
2112 2888 14671 Nagoya, Japan
1109 364 124003 Calhoun, KY
2287 391 161986 Tacoma, WA
1993 2152 106921 Mandeville, Jamaica
2463 133 66805 Jamnagar, India
2018 2682 100110 Arlington, TX
1779 2363 178432 Wervik, Belgium
1294 547 46460 Port Orchard, WA
2269 637 91770 Durham, NH
992 1439 42643 Ashburn, VA
290 2402 32368 Weehawken, NJ
2588 2576 189877 Westby, WI
1144 133 108340 Lake View, SC
1574 2768 98288 Winnipeg, Canada
2126 1157 189781 Doylestown, PA
2095 1389 98021 Clovis, CA
324 389 163977 Escondido, CA
1694 2691 3797 Stanford, CA
2022 2756 168329 Orlando, FL
87 897 149636 Stirling, Scotland, UK
803 16 131588 Sullivan, MO
300 2881 87802 Oxford, MS
239 1617 119189 Monticello, IN
47 1669 44911 Reedsville, PA
2011 1517 115535 Kalamazoo, MI
774 2616 40692 Mar del Plata, Argentina
2138 1113 48468 Moore, OK
1052 2770 84027 Metz, France
1064 1530 119208 Beaverton, MI
678 874 199958 Canterbury, England
461 954 148788 Statesville, NC
592 661 99563 Topeka, KS
2305 438 134772 Price, UT
865 2516 165321 Sao Bartolomeu deM., Portugal
2635 2656 158932 La Salle, ON, Canada
853 2077 98474 Thunder Bay, Canada
1726 2063 14561 Saskatoon, Canada
686 981 140230 Schleswig, Germany
2654 707 182294 Rome, Italy
1650 2131 2260 Oneonta, NY
148 2208 143286 Bialystok, Poland
1363 120 163213 Dalton, GA
801 1953 88670 Valencia, CA
2163 1490 59383 Abu Dhabi, A.D., U.A.E.
75 1680 191165 Sydney, Australia
443 1444 96613 Harrisonburg, VA
2162 1531 110993 Slidell, LA
78 1178 76188 Okinawa, Japan
995 2033 43799 Boston, England
193 2136 78916 Dacula, GA
2952 2408 165906 Pekin, IL
2038 1487 145253 Zanesville, OH
913 378 142882 Alva, OK
2351 1288 22557 Bloomsburg, PA
224 1609 4946 Caimanero, Sinaloa, Mexico
374 1884 150549 Lehigh Acres, FL
252 698 193248 Costa Mesa, CA
882 750 132248 Richmond, BC, Canada
2904 2741 137184 Nanjing, China
1569 205 98083 Stellenbosch, South Africa
1833 312 195349 Sorel, QU, Canada
1931 1577 100998 Nouma, New Caledonia
536 676 18177 Cartago, Costa Rica
434 2175 59746 Zalaegerszeg, Hungary
1405 1582 81653 Anacortes, WA
2012 1240 92188 Moline, IL
2571 820 142647 Bradenton, FL
55 2110 127913 Holyhead, Wales, UK
2541 2380 48362 Lake Arrowhead, CA
2922 1025 59766 Chatham, On, Canada
514 2801 170594 Pocatello, ID
2840 2793 48743 Samarate, Italy
528 2892 197156 Caloundra, QU, Australia
1617 591 95796 Campina Grande, Brazil
552 1879 27761 Pereira, Colombia
580 96 49960 Flower Mound, TX
2751 2547 11619 Lexington Park, MD
825 1770 22249 Norfolk Island, Australia/Pacific
1619 2585 161957 Downey, CA
2599 2144 74733 Asheville, NC
2347 2376 82343 Lansing, IL
444 2559 57715 North Tonawanda, NY
1635 378 180257 Opotiki, New Zealand
842 936 139854 Besanon, France
33 2934 119629 Peguis, MN, Canada
2280 1050 191735 Buffalo, MN
217 1662 153612 Pickering, ON, Canada
486 66 174829 Kidderminster, England
633 1441 101270 Salina, KS
1144 82 92987 Forres, Scotland, UK
2019 811 61544 Chesapeake, VA
1452 2667 122956 Newberg, OR
860 1125 96893 Massena, NY
2644 2497 182302 St. Helens, England
1237 1920 180070 Dublin, OH
182 723 72108 San Pedro Sula, Honduras
978 773 32716 Newport News, VA
491 1502 150896 Petaling Jaya, Malaysia
1197 1401 113939 McHenry, IL
1570 1528 122255 Goshen, IN
1311 834 197171 Valaske Mezirici, Czech Republic
2661 741 162715 Bridgman, MI
1769 2399 17173 Yellville, AR
136 1505 85932 Fryeburg, ME
562 2181 91300 Tucson, AZ
1638 1707 2089 Panama City, FL
823 1365 177726 Maastricht, Netherlands
2609 382 40496 Greenville, TX
238 2685 52198 Linkping, Sweden
1486 935 148711 Nice, France
35 1778 176853 Hargshamn, Sweden
522 1237 30886 Parksley, VA
375 2398 118657 Searcy, AR
2179 828 141773 Weinheim, Germany
116 1103 72118 Springfield, IL
141 490 8252 Hornepayne, ON, Canada
2870 1474 43767 Spring Valley, NY
1940 1377 104241 Lynchburg, SC
1172 172 189106 Winnemucca, NV
2374 1724 175918 Dayton, TX
1656 937 34986 Maidstone, England
2399 1074 62929 Hampton, VA
1467 1443 77151 Cross Plains, IN
548 1980 177398 Leland, MS
2654 2174 77697 San Marcos, TX
1898 1617 77276 Pori, Finland
2332 2803 109259 Los Altos, CA
1174 617 70453 Port Laoise, Ireland
937 2935 92689 Ajdovscina, Slovenia
2761 2292 103989 Cumbernauld, Scotland
1977 1933 152532 Weatherford, OK
396 2946 49921 Nagpur, India
2729 1039 49545 Smith Center, KS
2401 843 167709 Tehran, Iran
2929 21 154713 Pendleton, OR
2836 1215 15846 Putnam Valley, NY
2224 2668 88322 Casselberry, FL
2531 2960 12670 Oakland, NJ
563 40 20812 Jeannette, PA
579 2714 176221 Cullowhee, NC
399 1912 163190 Encinitas, CA
255 738 99120 Leakey, TX
1622 1599 195972 Farmington, NM
2153 1274 186200 Kalgoorlie, W.Australia
1173 646 96888 Winona, MN
1313 298 111600 Plattsburgh, NY
129 647 163214 Tyngsboro, MA
2203 242 9257 Poncha Springs, CO
2677 640 91522 Gaborone, Botswana
1227 1000 123300 Socorro, NM
3000 1921 85851 Harrison, MI
632 1151 6950 Coonabarabran, NSW, Australia
1164 2876 153879 New Haven, CT
1015 2177 124827 Nantes, France
766 1362 120442 Palma de Mallorca, Spain
987 479 173051 Kalmar, Sweden
2849 227 188717 Willington, CT
541 1509 118947 Limerick, Ireland
820 42 37400 Erlangen, Germany
1419 2278 30123 Oxford, England
1191 37 185758 Lennon, MI
1623 2447 177453 Southampton, England
59 2203 52700 Tower, MN
2789 1832 55533 Eureka, CA
1091 904 80618 Porto Alegre, Brazil
2532 28 105766 Temuco, Chile
171 2059 81504 Minot, ND
1445 2135 139468 Corinth, MS
1876 516 83505 Warburton, Australia
537 1043 191166 Baldwin Park, CA
2454 788 109270 Manistee, MI
2633 1420 19927 Moss Beach, CA
1733 2432 190762 Valparaiso, IN
2142 641 118654 Fitzroy Crossing, W.Australia
190 834 159381 Bozeman, MT
2805 2980 51442 Lockport, NY
2786 1884 92210 Rimouski, QU, Canada
1188 2020 9107 Visalia, CA
28 328 25556 Seal Beach, CA
155 1711 95371 Southington, CT
1385 684 118999 Alice Springs, Australia
2298 1386 41846 Port Washington, NY
2375 2010 35181 Barcelona, Spain
163 53 178135 Stillwater, OK
1372 330 188445 Adams, MA
1159 2262 129538 Owosso, MI
580 2665 154776 Wellfleet, MA
794 1702 163338 Simcoe, Canada
1456 1014 32663 Kassel, Germany
455 497 32217 Washington, IL
185 313 141759 Moberly, MO
2325 1149 91217 Elk Rapids, MI
977 2491 32759 Santa Maria, Brazil
200 1925 114697 Canton, TX
2077 958 183160 Eucla, W. Australia
1716 446 72956 Twin Falls, ID
952 1542 168995 Wuerzburg, Germany
2527 1316 162403 Lewisburg, WV
803 519 84126 Saint George, UT
2768 267 117714 Tolna, Hungary
4 2101 80485 Union City, CA
1238 169 85410 Moron, Argentina
2392 1000 2273 Panama City, Panama
2127 2939 122028 Amherst, OH
992 413 40283 Agana, Guam
1036 1125 28037 Eindhoven, Netherlands
948 1505 97952 Santa Barbara, CA
349 2211 164897 Cornwall, ON, Canada
1096 2565 126487 Boynton Beach, FL
2553 2554 18350 Halmstad, Sweden
2487 2205 111294 Surrey, BC, Canada
2866 2114 133779 Mariposa, CA
1953 1176 82972 Nashua, NH
2770 381 97133 Frankfort, IL
1930 2520 15774 Wooster, OH
2581 142 139546 Madrid, Spain
417 2959 78505 Temple, TX
1395 95 19655 State College, PA
1288 2073 86232 Austin, TX
2276 2520 100145 Chiang Mai, Thailand
1744 1857 1784 Saginaw, MI
1896 1166 70532 Coventry, RI
1555 909 100069 Gold River, BC, Canada
2916 1180 35700 Danbury, CT
1192 2749 41858 Brookings, OR
587 1594 49995 Pasadena, CA
288 1611 148746 Yorba Linda, CA
2865 1087 21438 Eden, NC
693 437 65386 Clermont, FL
1954 2107 77059 Natchez, MS
668 2793 51852 Elkhorn, WI
2293 1151 10881 Ocala, FL
2632 845 186694 Recklinghausen, Germany
511 1017 79046 Mornington Island, QUE, Australia
1694 1641 121350 Allegan, MI
924 1780 189609 Plattsmouth, NE
1172 1032 89247 Norwood, NC
329 2474 199456 Bonne Terre, MO
2777 26 173414 Tepic, Mexico
1835 2974 111731 Hauppauge, NY
871 1295 69117 Prague, Czech Republic
839 199 155949 Richmond, IN
1581 1930 125802 Flint, MI
2719 1628 120149 Rocklin, CA
2372 1751 112249 Ishpeming, MI
1816 1190 116511 Roy, WA
1429 2301 159534 Naugatuck, CT
2901 1218 136425 Olathe, KS
901 2069 155593 Bellefontaine, OH
1087 144 109853 Carbondale, PA
1961 1392 146693 Bullhead City, AZ
2154 2730 64107 Buenos Aires, Argentina
2049 2890 84803 Dodge City, KS
1719 1188 15599 Vladivostok, Russia
612 599 40964 Gravendeel, Netherlands
239 496 101231 Mulvane, KS
1074 342 33856 Essexville, MI
2549 2107 25474 Kuala Lumpur, Malaysia
1238 2964 193318 Cookeville, TN
121 783 4588 Norrkping, Sweden
1311 1766 62966 Buxtehude, Germany
860 849 26599 Clare, MI
2793 2837 97542 Pembroke, ON, Canada
589 1835 73824 Marina, CA
2183 17 42043 Augusta, GA
2299 1995 46547 Nevada, MI
2998 1449 195840 Stockton, KS
2902 1226 93744 Thun, Switzerland
977 964 150251 Burlington, CT
2586 2744 3411 Nmes, France
556 2875 144631 Partiznske, Slovakia
2096 2638 15390 New Orleans, LA
557 1363 159402 Darwin, Australia
1345 308 19075 Running Springs, CA
629 246 112589 Anahuac, TX
1510 1257 177225 Heilbronn, Germany
2612 1131 9861 Palm Springs, CA
1143 1643 168700 York, NE
2725 2057 187847 Zaragoza, Spain
2556 639 94352 Mearnsville, Jamaica, W.I.
2612 2424 154976 River Edge, NJ
2459 671 39912 Winlock, WA
2723 2552 50438 Santa F de Bogot, Colombia
2924 1766 151920 Niles, MI
1757 100 174156 Terespolis, Brazil
1808 380 15430 Assen, Netherlands
2077 2102 127834 Saronno, Italy
489 2150 155678 New Hyde Park, NY
149 1 133719 Port Hedland, Australia
2775 2696 54760 Joensuu, Finland
733 851 126090 Grand Cayman Island
1859 1692 145628 Bamberg, Germany
120 2434 129332 Livonia, MI
1415 231 44806 Netanya, Israel
2652 1198 63556 Bartlesville, OK
627 1416 64571 Beaumaris, Wales, UK
1722 1037 97005 Sabinal, TX
1707 2510 55221 Morgantown, KY
1908 1245 127452 Rancho Palos Verdes, CA
36 355 162550 Queens, NY
1454 1520 193906 Mechanicsburg, PA
1473 143 188557 Newnan, GA
2959 138 14861 Chiclayo, Peru
1942 1550 173056 Enschede, Netherlands
2883 2910 30185 Nashville, TN
1857 966 171522 Brentwood, NY
1451 1267 148243 Vacaville, CA
2173 1158 140152 Olin, IA
782 1519 149621 Trujillo, Peru
2840 2267 182397 Vcklabruck, Austria
1287 100 119603 New Port Richey, FL
2859 2512 39946 Punta Gorda, FL
2977 202 106106 Tetbury, England
1859 1269 82937 Casper, WY
1775 747 89992 Lisbon, Portugal
949 1281 160958 Belleville, ONT, Canada
65 438 65423 Shanghai, China
2915 2762 2847 Midway, GA
2850 2690 40210 Bloomington, IN
1584 2774 162953 Idaho Falls, ID
1694 1122 135188 Valparaiso, Chile
184 895 83424 Hartland, MI
2354 2281 44653 Armagh, Northern Ireland, UK
1397 2926 173631 Santa Rosa, CA
719 2464 142404 Ironwood, MI
783 2294 199085 Hamburg, Germany
1852 1366 186722 Big Rapids, MI
2810 1301 180564 Milford, IN
1407 650 101336 Pietermaritzburg, South Africa
2283 1386 169672 Yachats, OR
1342 2534 40171 Wilmington, NC
1472 2329 170998 Conneautville, PA
772 2707 130968 Leitchfield, KY
2923 2628 193500 Breda, Netherlands
2840 2408 187915 Bendigo, VC, Australia
2573 1269 40847 Lige/Luik, Belgium
1431 2656 6983 Bloomington, IL
1320 988 82245 Charleston, IL
2956 627 186034 Nacogdoches, TX
262 1041 140659 Kimberley, South Africa
281 695 121169 Port Arthur, TX
111 2729 149634 Woomera, Australia
1871 38 35392 Breese, IL
1526 2962 9618 North Port, FL
1265 1761 189821 Taman Tun Dr. Ismail, Malaysia
660 197 83209 Jacare, Brazil
1792 1350 21948 Ames, IA
1140 134 90127 Elkland, PA
2014 1085 43279 Omaha, NE
2073 694 141370 Smyrna, TN
1324 303 188492 Medford, NJ
2028 2154 114510 Lexington, KY
2893 128 199605 Cambridge, MD
1184 1271 43238 Vysokov, Czech Republic
1411 453 197949 Victoria, TX
1585 2155 81415 Eureka, IL
2166 2769 45277 Willmar, MN
2597 1638 173276 Winder, GA
2491 769 151961 Heppenheim, Germany
490 2362 48239 Turku, Finland
100 1946 195841 Mountainside, NJ
2468 264 118549 Air Force Academy, CO
1380 1165 158350 Grand Forks, ND
2054 560 125180 Evansville, IN
2635 1563 171474 Hannover, Germany
1585 1848 128644 Sundsvall, Sweden
2061 2759 51680 Herrenberg, Germany
1477 353 121155 Ceres, Argentina
2226 2468 63201 Clarksville, TN
2614 2512 89615 Braga, Portugal
350 2396 19350 Great Neck, NY
1160 1800 88694 Meadville, PA
1593 2379 107423 Watertown, MA
424 737 160530 Martha's Vineyard, MA
1508 1502 170786 Bakersfield, CA
1354 823 6686 Fairview, TN
1634 1445 149788 Denison, TX
2125 1072 16866 Monterrey, NL, Mexico
1274 1216 101893 Hialeah, FL
848 23 4004 Florence, SC
537 2235 91470 Forked River, NJ
1028 287 166546 Biddeford, ME
2889 1599 87215 Hanoi, Vietnam
2524 1887 94320 Tower Hill, IL
2855 1124 2794 Canberra, Australia
2070 213 41824 Kalispell, MT
541 418 14347 Algiers, Algeria
2881 2768 130687 Mason, MI
887 515 3716 Emory, TX
1960 2922 198821 Lakeland, FL
1278 308 86077 Wallingford, CT
722 1788 195854 Kingston, Canada
2434 514 151614 Lafayette, IN
2531 655 94320 Elkhart, IN
2813 565 101728 Patuxent River N.A.S., MD
737 817 110174 Union City, TN
309 720 127858 North Battleford, SSK, Canada
2366 589 58331 Grand Lake, CO
1956 909 94123 San Jose, Antique, Philippines
235 964 46742 Middletown, NJ
1745 2085 177792 Hutchinson, KS
2170 2174 57709 Clinton, NC
848 1782 43253 Ottawa, IL
2734 1637 154452 Spencer, IA
2018 2798 7441 Glenwood, MN
2918 1083 190669 Acapulco, Mexico
1931 2356 36091 Grand Blanc, MI
70 1163 86180 Battle Creek, MI
1519 1511 189004 Puerto Vallarta, Mexico
2462 2062 67343 Atkinson, IL
1749 2401 59739 Swindon, England
1051 2117 62792 Thompson, MN, Canada
241 1328 19727 Mirabel, QU, Canada
915 2880 14626 Covington, TN
2093 1777 159459 Salt Lake City, UT
1084 743 177028 Garden Grove, CA
951 715 13569 Aberdeen, WA
444 2210 192144 Wanganui, New Zealand
2544 1007 198031 Douglas, I.Man, England
982 2405 116477 Addis Ababa, Ethiopia
757 1772 44443 Cambridge, ONT, Canada
748 1181 5120 rebro, Sweden
2161 761 62212 Waterloo, ON, Canada
1008 601 1023 Dothan, AL
2058 1474 113436 Herndon, VA
1941 694 166605 Hmeenlinna, Finland
1072 1963 19942 Missoula, MT
1526 141 110208 Ridgewood, NJ
2685 202 196192 Margate, England
54 565 152505 Brodheadsville, PA
1574 1213 159338 Pittsfield, MA
53 58 162435 Olympia, WA
430 313 42896 Helena, AR
1227 786 48000 Strasbourg, France
313 1334 153624 Waterville, ME
1666 733 103111 Birkenfeld, Germany
2873 1591 49324 Covode, PA
1345 881 47555 Binan, Philippines
909 2402 118460 Polo, IL
1883 216 59128 Ralph, AK
1399 2178 179624 Newark, NJ
1887 2797 146638 Tyler, TX
2542 2340 9413 Kelowna, BC, Canada
1850 160 72117 Valladolid, Spain
368 1425 132239 Colorado Springs, CO
2196 2186 109974 Des Plaines, IL
2897 707 146587 Metairie, LA
1852 499 146793 Douglas, AZ
2324 592 42242 Collierville, TN
2425 1233 89299 Krakow, Poland
1450 1522 35951 Winston-Salem, NC
924 103 154232 Warsaw, IN
268 2014 163933 Cornelia, GA
401 2264 181939 Lancaster, PA
1437 2048 116740 Waterdown, ON, Canada
1139 2660 3141 Nevers, France
1392 2421 177282 Houlton, ME
1283 291 110015 Hampstead, MD
2105 1625 47750 Ukiah, CA
1127 2336 8950 Granger, IN
980 1665 79386 Petaluma, CA
1162 2114 182171 Fairhope, AL
1816 1412 169981 Grand Rapids, MN
52 586 25683 Arlington, WI
2510 93 31068 Imperial, NE
2166 339 41879 Waynesboro, PA
1639 469 126632 Augusta, KS
913 34 134629 Truckee, CA
1455 2677 184874 San Angelo, TX
1830 188 103968 Montezuma, IA
937 260 154407 Mannheim, Germany
1332 1765 72070 Wellington, New Zealand
439 1221 175668 Lodz, Poland
1069 298 31795 Hays, KS
1036 921 175657 Mexia, TX
2807 1089 27499 Mansfield, PA
2918 1720 30127 Nanaimo, BC, Canada
1963 2962 107955 Elmhurst, IL
1435 227 68706 Salem, MA
2470 136 112325 McCaysville, GA
766 2552 131821 Charleston, SC
1917 1149 109273 Torremolinos, Spain
583 539 109463 Berlin, Germany
2021 1162 53532 Ashford, Kent, England
1074 1340 27993 Tarboro, NC
287 2299 199042 Beauharnois, QU, Canada
324 2716 175416 Redding, CT
1722 2390 104859 Rochester, IN
2702 1513 43302 LaSalle, IL
1179 2994 22255 Lund, Sweden
542 995 24075 Chiefland, FL
2117 1208 144226 Warren, MI
11 1456 40781 Exmouth, W.Australia
671 888 138018 Wichita, KS
1106 276 167942 Lewisburg, TN
384 1612 50248 Acton, MA
1203 313 180927 Ventura, CA
1600 434 145336 Santiago deComp., Spain
1993 2538 102927 Nijmegen, Netherlands
317 705 103790 Port Chester, NY
1959 387 75006 Bridgeport, CT
149 2259 190346 Otley, England
3000 2127 139724 Magnolia, AR
161 1138 62206 Bolivar, NY
1758 683 189590 Peru, IL
469 1247 157755 Silver City, NM
2960 1675 11712 Ringwood, NJ
922 101 38899 Belize City, Belize
552 783 192533 Neillsville, WI
20 2511 88400 Superior, WI
2115 976 33878 Bucharest, Romania
2071 2261 116152 Aosta, Italy
1132 2858 71991 Walla Walla, WA
2154 2064 160464 Petoskey, MI
720 33 47334 Nanticoke, PA
1429 881 139553 Bourges, France
2976 843 132842 Veseli nad Moravou, Czech Rep.
1179 1208 156762 Koblenz, Germany
1812 2350 100541 Titusville, FL
81 1997 140909 Reinbeck, IA
1453 1475 129234 Tallinn, Estonia
1125 2132 152636 Richfield, UT
196 472 136954 Wuppertal, Germany
443 135 60911 Highlands, TX
1524 1513 187827 Storrs, CT
1912 645 120754 Saint John, NB, Canada
943 310 153198 Willemstad, Netherlands Antilles
857 2336 68813 Westport, IN
2307 1498 65256 Breckenridge, CO
655 2159 150986 Branson, MO
541 2899 152877 Portage, IN
2481 2653 82823 Turnov, Czech Republic
249 924 13713 El Dorado, AR
2062 2780 36428 Corpus Christi, TX
899 869 45704 Portsmouth, England
1709 2514 43936 Rosman, NC
372 459 138760 Corner Brook, Canada
1776 2725 47611 Timisoara, Romania
151 791 129204 Langhorne, PA
2250 2264 8706 Bellinzona, Switzerland
1417 989 198377 Saint Peterburg, Russia
2910 708 117143 Poplar Bluff, MO
1870 2173 198205 Setbal, Portugal
2183 756 10024 Mountain Lake, MN
2967 1027 127057 Gasp, QU, Canada
1425 176 104265 Cdiz, Spain
1604 861 164913 Hartford, KY
410 2414 57940 Utrecht, Netherlands
1319 2757 59941 Paterson, NJ
44 19 57610 Melbourne, FL
1572 1094 119098 Presque Isle, WI
904 2860 35406 Siloam Springs, AR
2962 2694 174006 Pittsburgh, CA
521 2360 23265 Bunbury, W.Australia
1569 64 133167 Coronado, CA
890 2156 68919 Chico, CA
67 2339 132257 Wenatchee, WA
2016 1972 139263 Syracuse, NY
157 52 102854 Youngstown, OH
2413 2142 46770 Garnett, KS
154 2648 98127 La Grange, CA
1572 234 189588 Oakville, ON, Canada
2259 2024 131912 Lithgow, NSW, Australia
1758 1305 75305 Tamworth, Australia
600 2252 119765 Mountain Home, AR
2116 69 27261 Taylorville, IL
174 798 182810 Rehovot, Israel
2641 2266 197533 Glendale, CA
2461 1328 13856 Sudbury, MA
1519 2719 176128 Karachi, Pakistan
2211 1381 62758 Helena, MT
1175 1613 65964 Mansfield, PA
622 398 11777 Hanau, Germany
702 179 55958 Ruidoso, NM
2004 913 119799 Vinton, IA
2661 264 107040 Lansdale PA
314 390 36559 Barquisimeto, Venezuela
2059 157 87389 Lawton, OK
840 717 52592 Warren, NJ
626 2942 132069 Naha, Okinawa, Japan
1276 1655 53303 Ambleside, England
2013 1880 4876 Moriarty, NM
1837 635 161918 Thomasville, GA
608 1832 19355 Seoul, South Korea
1011 505 167193 Allen, TX
870 1716 69024 Romeo, MI
2584 475 129547 Athens, WV
1349 1984 39599 Coventry, England
107 2283 140119 New Bethlehem, PA
569 2906 160879 Rockingham, NC
2267 753 102805 Southold, NY
2067 2970 189070 Carlsbad, NM
648 208 38471 Blairsville, GA
1433 1553 64499 Giles Met.Station, W.Australia
2084 1080 138412 Alma, Quebec, Canada
2304 611 20514 Bogota, Colombia
280 1755 111573 Milford, MA
2152 372 7246 Christmas Island
2447 2979 158324 Astoria, OR
453 2262 142001 Satiledo Luiacutes, Brazil
1806 1394 107414 Marseilles, IL
2431 1129 107878 Soldotna, AK
1549 2917 171745 San Jacinto, CA
1388 1836 67414 Shimane, Japan
2956 1622 101413 Jersey City, NJ
2933 396 150306 Lugansk, Ukraine
1165 1060 169979 Cocoa Beach, FL
1275 409 61798 Huntsville, TX
2944 2676 104604 Ankara, Turkey
2701 692 109100 Graz, Austria
1885 1809 99895 Montreal, Canada
1467 2591 71549 Lorida, FL
321 2018 3218 Belchertown, MA
2154 2875 181878 Maryville, TN
1478 570 33004 Vallejo, CA
1282 2960 170882 Abingdon, VA
333 1308 136724 Henderson, NC
275 294 186015 Frankfort, KY
2183 326 98480 Miramichi, NB, Canada
355 2150 185808 Inverurie, Scotland UK
2333 343 38164 Caribou, ME
1255 2447 33038 Hoogeveen, Netherlands
1009 2555 103814 Lynchburg, VA
696 387 49581 Wendell, NC
29 1354 50087 Council Bluffs, IA
1758 158 53714 Rancho Cucamonga, CA
2540 2661 103001 Wellington, KS
2020 623 177322 Horsholm, Denmark
853 1881 56068 Oak Harbor, WA
605 1487 107248 Clarksburg, WV
2100 1392 12917 Port Moresby, Papua New Guinea
1295 1041 25902 Kirtland, OH
10 100 16669 Glasgow, KY
1405 1168 40279 Benton Harbor, MI
1739 341 109995 Tulu, Colombia
1040 2048 89827 Norway, ME
2897 2248 12853 Monroe, LA
1728 458 3258 Brazil, IN
2615 194 84998 Bayreuth, Germany
1170 2973 80889 Horn, Austria
296 718 12448 Port Jervis, NY
768 1672 127762 Boardman, OR
1345 1417 105461 Greensburg, PA
2682 1898 1211 West Springfield, PA
1860 2414 117791 Wyoming, OH
929 1892 134172 Haverhill, MA
2131 2889 6822 Denbigh, Wales, UK
1707 2510 7399 Gent/Ghent, Belgium
1188 226 30569 Ossining, NY
2692 991 156582 Milton Keynes, England
443 191 120034 Creston, BC, Canada
483 874 36699 Williamsburg, VA
659 1594 41361 McCook, NE
2547 2150 50343 Aarhus, Denmark
1624 1857 12751 Saundersfoot, Wales, England
2032 1311 158434 Poitiers, France
651 1978 73352 Santa Rita do Sapuca, Brazil
1044 2394 173072 Monterey, MA
1172 246 35443 Elizabeth, NJ
861 883 24539 Attleboro, MA
2423 1698 136856 Budapest, Hungary
1968 198 123354 Proctor, VT
1191 2952 91208 Sunbury, Australia
1789 313 172961 Edinburgh, Scotland
2331 2180 167221 Marshall, AR
2914 1334 144806 Fort Scott, KS
1635 2575 157280 Neustadt a/d Weinstraue, Germany
1049 1017 159056 Guitiriz, Spain
2069 884 20252 Kankakee, IL
411 1761 177308 Chelmsford, England
282 1821 83614 Santiago, Chile
1519 2105 187496 Szkesfehrvr, Hungary
1578 1111 32678 Breckenridge, MI
2178 1386 19571 Grant's Pass, OR
836 2199 154601 Green Creek, NJ
1679 540 56289 Yellowknife, NWT, Canada
1162 1835 36198 Waldwick, NJ
1316 1506 86831 Quincy, IL
1399 2508 145622 Mount Pleasant, MI
470 2054 117404 Zoetermeer, Netherlands
2403 2900 41315 Saint Petersburg, FL
335 174 107227 Dexter, MI
453 1269 108156 Athlone, Rep. of Ireland
2025 1884 143723 Paris, TN
