2002 955 117166 Aachen, Germany
1732 1920 73222 Leipzig, Germany
772 2707 130968 Leitchfield, KY
548 1980 177398 Leland, MS
990 799 128865 Lemoore, CA
1932 1173 54403 Leningrad, Russia
1191 37 185758 Lennon, MI
1353 194 94725 Lenox, MA
1041 2917 10721 Len, Gto. Mexico
1778 955 177230 Leonardtown, MD
1361 761 180787 Leonberg, Germany
1847 2493 108779 Lethbridge, AL, Canada
2945 264 89199 Letterkenny, Ireland
1910 812 21169 Beavis, QU, Canada
1571 1801 74434 Lewes, DE
504 733 152609 Lewes, England
1320 1923 155052 Lewisburg, PA
1106 276 167942 Lewisburg, TN
2527 1316 162403 Lewisburg, WV
2688 94 26026 Lewiston, ID
2346 1454 76738 Lewiston, MN
2058 301 42882 Lewistown, PA
690 245 60434 Lewisville, TX
2028 2154 114510 Lexington, KY
2345 725 34571 Lexington, NC
462 1228 83424 Lexington, VA
2751 2547 11619 Lexington Park, MD
2077 652 29960 Libby, MT
1596 179 117682 Liberia, Costa Rica
1032 2866 123924 Liberty, MO
1422 2212 20841 Libertyville, IL
2573 1269 40847 Lige/Luik, Belgium
216 1958 57164 Lihue, Kauai, HI
1123 985 189334 Lima, OH
330 736 23905 Lima, Peru
791 1963 107328 Limeira, Brazil
541 1509 118947 Limerick, Ireland
2617 2161 148907 Lincoln, England
1212 2340 66588 Lincoln, ME
2244 2205 190511 Lincoln, NE
665 1416 11351 Lindsay, ONT, Canada
238 2685 52198 Linkping, Sweden
454 1642 109362 Linwood, NJ
1576 2627 110121 Linz, Austria
1416 2956 159151 Lisbon, OH
1775 747 89992 Lisbon, Portugal
385 1288 190588 Lisle, IL
2169 904 134641 Lismore, NSW, Australia
1402 2116 90577 Lisnaskea, N.Ireland
2401 1359 37541 Lisse, Netherlands
2259 2024 131912 Lithgow, NSW, Australia
2429 2261 110852 Little Rock, AR
212 2715 20302 Littleton, CO
1852 1290 195402 Livermore, CA
504 2706 192460 Liverpool, England
2892 1480 42217 Livingston, MT
1241 1864 128023 Livingston, NJ
1100 1032 188281 Livingston Manor, NY
120 2434 129332 Livonia, MI
1478 1835 19924 Livorno, Italy
2042 1093 154829 Ljoerdalen, Norway
1020 522 105555 Ljubljana, Slovenia
2683 733 86494 Ljungby, Sweden
2988 2585 172471 Lleida, Spain
2919 89 152819 Lockport, IL
2805 2980 51442 Lockport, NY
439 1221 175668 Lodz, Poland
2359 2320 44443 Logan, UT
2183 2440 6675 Lombard, IL
1123 918 128950 Lompoc, CA
1422 2959 1779 London, ONT, Canada
744 979 36513 London, England
2328 661 85350 Londonderry, NH
625 648 57650 Londonderry, Northern Ireland
212 566 63536 Lone Rock, WI
2505 371 62155 Long Beach, CA
276 809 143502 Long Beach, NY
2911 168 98162 Long Branch, NJ
578 2351 60777 Longford, Rep. Of Ireland
678 473 121923 Longmont, CO
2612 1895 119140 Longview, TX
2639 2639 184341 Longview, WA
187 1966 28376 Loosduinen, Netherlands
1467 2591 71549 Lorida, FL
2332 2803 109259 Los Altos, CA
285 2307 133966 Los Angeles, CA
1217 2582 187887 Los Fresnos, TX
369 2493 199044 Loughborough, England
1842 70 155718 Louisville, KY
2753 748 187240 Lowell, MA
1582 360 113534 Loxahatchee, FL
369 2998 89427 Luanda, Angola
135 184 20475 Lubbock, TX
560 1650 193171 Lubeck, Germany
1633 981 179986 Lublin, Poland
272 1265 133738 Lucca, Italy
2282 2482 105869 Lucky Lake, SSK, Canada
2100 2851 72045 Ledenscheid, Germany
2103 281 7205 Ludington,MI
2086 1692 76709 Ludvika, Sweden
1421 1445 126536 Lufkin, TX
1230 27 150475 Lugano, Switzerland
2933 396 150306 Lugansk, Ukraine
1274 530 162542 Lugo, Spain
1582 1089 72531 Lulea, Sweden
1479 2722 137923 Lumpkin, GA
1179 2994 22255 Lund, Sweden
185 2275 187679 Lusaka, Zambia
1773 1375 177698 Luton, Bedfordshire, England
2854 460 90473 Lutz, FL
1004 1881 186780 Luxembourg, Luxembourg
2902 110 188541 Luzerne, Switzerland
2159 43 14896 L'viv, Ukraine
1414 1317 50185 Lycksele, Sweden
852 2898 122784 Lynbrook, NY
1940 1377 104241 Lynchburg, SC
1009 2555 103814 Lynchburg, VA
1343 2739 55469 Lyon, France
1158 1512 147092 Lyons, CO
823 1365 177726 Maastricht, Netherlands
2180 2369 103088 Macedonia, OH
1982 2271 110420 Mackay, QL, Australia
1810 1429 113252 Macomb, IL
2034 2843 1013 Macon, GA
2786 695 194176 Madison, FL
1628 2634 85911 Madison, GA
192 643 56204 Madison, WI
1749 1985 38793 Madras, India
2581 142 139546 Madrid, Spain
1787 965 30509 Magalia, CA
1453 145 188390 Magdeburg, Germany
3000 2127 139724 Magnolia, AR
1656 937 34986 Maidstone, England
355 2970 24482 Malaga, Spain
370 2756 70754 Malin, OR
283 1383 46331 Malmesbury, England
1571 1575 89136 Malm, Sweden
2414 323 21424 Mamoutzou, Mayotte (Comores)
2996 2904 30874 Managua, Nicaragua
2089 1691 95182 Manassas, VA
2547 144 104821 Manchester, England
2373 143 46571 Manchester, CT
1469 1798 108972 Manchester, NH
1993 2152 106921 Mandeville, Jamaica
2361 2522 90601 Mandeville, LA
422 2804 182796 Manhattan, KS
1117 1375 87748 Manila, Philippines
2454 788 109270 Manistee, MI
2775 784 102831 Manitowoc, WI
238 2873 15522 Manizales, Colombia
1666 2419 25067 Manjimup, W.Australia
238 1791 34556 Mankato, MN
937 260 154407 Mannheim, Germany
2572 2252 97872 Mansfield, MA
1175 1613 65964 Mansfield, PA
2534 2034 52857 Manteca, CA
2276 150 144463 Manteo, NC
592 2604 196984 Mantes-la-Jolie, France
2232 2378 49212 Maplewood, MN
774 2616 40692 Mar del Plata, Argentina
1007 1282 1935 Maraba, Brazil
1383 1520 121328 Maracaibo, Venezuela
1901 2456 138596 Marburg, Germany
1217 2027 88723 Marche-en-Famenne, Belgium
2685 202 196192 Margate, England
675 2736 131755 Marienville, PA
1468 2012 141743 Marietta, GA
635 2604 115291 Marietta, OH
589 1835 73824 Marina, CA
1327 2608 48215 Marion, AL
1938 615 133645 Marion, IN
1967 1997 34936 Marion, NC
787 898 198656 Marion, OH
2866 2114 133779 Mariposa, CA
1197 1799 147225 Marissa, IL
1139 2473 129593 Marlborough, England
116 941 63680 Marlborough, MA
2242 1575 37232 Marlette, MI
971 2163 159521 Marlton, NJ
2079 490 133375 Marquette, MI
2802 2428 174318 Marseille, France
1806 1394 107414 Marseilles, IL
2331 2180 167221 Marshall, AR
2310 2046 108144 Marshall, NC
1317 242 28056 Marshall, TX
525 1381 192918 Marshfield, MA
2469 1496 55589 Marshville, NC
424 737 160530 Martha's Vineyard, MA
983 1708 104726 Martin, TN
376 786 137387 Martinez, CA
2376 587 99206 Martinsburg, WV
1991 2393 192116 Martinsville, IN
602 1723 137445 Martinsville, VA
111 1033 73789 Maryborough, QU, Australia
1733 2350 89869 Marysville, WA
2154 2875 181878 Maryville, TN
2047 2344 81570 Mashpee, MA
2881 2768 130687 Mason, MI
2289 750 44520 Massapequa, NY
860 1125 96893 Massena, NY
2921 501 136020 Massillon, OH
1409 2492 95547 Matera, Italy
1291 94 10409 Mayaguez, PR
352 204 79262 Mayfield, KY
1459 1936 35884 Mays Landing, NJ
2807 1089 27499 Mansfield, PA
2535 136 183701 Mason City, IA
759 17 168168 Mastic, NY
2719 2305 18133 Matar, Spain
387 165 93115 Mauritius, Indian Ocean
1840 85 126488 Mauston, WI
881 1494 92571 Mbabane, South Africa
2314 2784 98777 McAllen, TX
2470 136 112325 McCaysville, GA
659 1594 41361 McCook, NE
1197 1401 113939 McHenry, IL
1610 936 122977 McMinnville, TN
1365 1694 124063 McPherson, KS
888 1413 77726 McQueeney, TX
1160 1800 88694 Meadville, PA
2556 639 94352 Mearnsville, Jamaica, W.I.
1454 1520 193906 Mechanicsburg, PA
2842 833 179471 Medellin, Colombia
1324 303 188492 Medford, NJ
9 961 94757 Medford, OR
629 2158 188135 Medicine Hat, AB, Canada
2338 767 50504 Meekatharra, W.Australia
1183 2131 163434 Melbourne, Australia
44 19 57610 Melbourne, FL
1210 1178 177552 Melk, Austria
2540 734 20151 Memphis, TN
955 2187 121429 Menard, TX
864 2028 176931 Menlo Park, CA
556 352 197065 Mentone, CA
383 360 61095 Mentor, OH
1805 989 4901 Merced, CA
1627 327 55983 Meredith, NH
2384 1509 198042 Meriden, CT
1836 1552 199245 Meridian, MS
2700 2761 77725 Meribel-Mottaret, France
2363 2301 126596 Merredin, W.Australia
2665 256 72346 Merrill, IA
1487 1119 7546 Merritt, BC, Canada
1141 1675 30972 Merritt Island, FL
1097 2058 54948 Mesa,AZ
2013 862 120835 Mesquite, NV
2087 2488 142572 Mesquite, TX
2926 1872 43135 Messina, Sicily/Italy
2897 707 146587 Metairie, LA
2886 407 130653 Methuen, MA
1052 2770 84027 Metz, France
2951 2435 101060 Meuselwitz, Germany
1036 921 175657 Mexia, TX
1149 2061 87289 Mexico City, Mexico
1614 158 24446 Miami, FL
2438 2170 81886 Middlebury, VT
1250 1257 47742 Middlesbrough, England
389 1183 172518 Middletown, CT
1036 1079 19649 Middletown, MD
235 964 46742 Middletown, NJ
2194 2016 31348 Middletown, NY
455 1966 193619 Middleville, MI
1971 1 54984 Midland, TX
1606 1149 192371 Midland Park, NJ
2915 2762 2847 Midway, GA
282 2200 147505 Midwest City, OK
1510 449 31245 Miercurea-Ciuc, Romania
2226 838 110051 Milan, Italy
1814 1873 181963 Milan, MI
2108 2107 46226 Mildura, VIC, Australia
2810 1301 180564 Milford, IN
280 1755 111573 Milford, MA
184 725 111599 Mill Valley, CA
1009 2330 188187 Milledgeville, GA
894 2245 172309 Milledgeville, IL
937 2526 118911 Millerton, NY
150 1035 148829 Millet, AL, Canada
618 261 4633 Millis, MA
2269 2074 129458 Millsboro, DE
1998 1182 69890 Milpitas, CA
2692 991 156582 Milton Keynes, England
2400 1270 73560 Milwaukee, WI
1074 1454 121884 Mikkeli, Finland
2748 2462 77211 Minden, Germany
2571 356 26830 Mineola, NY
2155 1292 195185 Minneapolis, MN
939 1442 64163 Minooka, IL
171 2059 81504 Minot, ND
241 1328 19727 Mirabel, QU, Canada
2183 326 98480 Miramichi, NB, Canada
231 17 164503 Misawa, Japan
2580 2417 49145 Mishawaka, IN
683 491 146025 Mission, TX
2511 238 110124 Mission Viejo, CA
670 2808 133814 Mississauga, ON, Canada
1072 1963 19942 Missoula, MT
1000 2902 116011 Mitchell, IN
1962 72 53266 Moab, UT
185 313 141759 Moberly, MO
481 2495 163451 Mobile, AL
1958 2726 164569 Mocksville, NC
1425 2305 125676 Moddy, AL
2163 2988 158346 Modena, Italy
1353 2499 174176 Modesto, CA
5 168 161354 Midling, Austria
2012 1240 92188 Moline, IL
2311 2239 85590 Monclova, Coahuila, Mexico
1051 1201 90387 Monmouth, IL
1850 1385 111213 Monmouth, OR
977 1865 77524 Monmouth Junction, NJ
428 823 59210 Monroe, CT
2897 2248 12853 Monroe, LA
1782 1410 12012 Monroe, MI
1157 2763 178571 Monroeville, AL
770 2767 189741 Monrovia, CA
190 1779 72351 Monsey, NY
1573 1089 21585 Mont Alto, PA
2857 2140 101606 Montclair, NJ
1213 990 193918 Monte Carlo, Monaco
2881 1966 118246 Monterey, CA
1044 2394 173072 Monterey, MA
1932 2291 122897 Monteria, Colombia
2125 1072 16866 Monterrey, NL, Mexico
2305 2229 1004 Montevarchi, Italy
1983 2999 185433 Montevideo, Uruguay
1830 188 103968 Montezuma, IA
2915 1761 176550 Montezuma, KS
239 1617 119189 Monticello, IN
1763 2829 185151 Montgomery, AL
1671 2710 116194 Montpelier, OH
445 753 75768 Montpelier, VT
41 2685 28444 Montpellier, France
1885 1809 99895 Montreal, Canada
2138 1113 48468 Moore, OK
2153 96 48338 Moose Jaw, SSK, Canada
1934 1925 60857 Moosonee, Canada
494 1839 178214 Mora, Sweden
142 2077 85999 Moreno Valley, CA
1930 839 74597 Morgan City, LA
1707 2510 55221 Morgantown, KY
450 2955 105396 Morgantown, WV
1586 2996 84330 Morges, Switzerland
2013 1880 4876 Moriarty, NM
511 1017 79046 Mornington Island, QUE, Australia
1238 169 85410 Moron, Argentina
1964 2103 13710 Moroni, Comores
2876 2596 136296 Morristown, IN
2550 2737 74752 Morristown, NJ
840 1666 130684 Morrisville, PA
1958 373 98009 Moscow, ID
2787 822 94973 Moscow, Russia
1368 2408 94646 Moses Lake, WA
2633 1420 19927 Moss Beach, CA
2706 1931 87679 Moultrie, GA
891 169 98906 Mount Airy, NC
2173 2132 39042 Mount Baldy, CA
2378 2008 12053 Mount Butterwicky, Australia
1423 1557 194490 Mount Carmel, IL
2544 2396 105541 Mount Holly, NJ
1504 1354 130355 Mount Magnet, W.Australia
2974 1141 185126 Mount Newman, W.Australia
1399 2508 145622 Mount Pleasant, MI
2819 2140 40286 Mount Pleasant, NC
118 1845 169013 Mount Shasta, CA
1433 2736 180271 Mount Tom Price, W.Australia
2916 1909 122397 Mount Vernon, IL
502 1286 56248 Mount Vernon, WA
683 2709 160038 Mountain Grove, MO
600 2252 119765 Mountain Home, AR
2183 756 10024 Mountain Lake, MN
1138 730 86037 Mountain Top, PA
915 2128 53200 Mountain View, CA
100 1946 195841 Mountainside, NJ
704 2063 118837 Mszana Dolna, Poland
239 496 101231 Mulvane, KS
2943 411 28435 Muncie, IN
1779 913 114157 Munich, Germany
2623 1595 94693 Munster, Germany
2023 2195 44795 Munster, IN
820 1377 95147 Murcia, Spain
970 2515 143757 Murphy, NC
2261 430 85598 Murray, NE
59 529 15316 Murrieta, CA
2996 1233 152835 Murrysville, PA
1779 1471 185836 Murska Sobota, Slovenia
297 1414 13224 Muscat, Oman
724 193 74041 Muscatine, IA
2436 2815 180339 Muskegon, MI
857 1838 126608 Muskogee, OK
1529 2658 18388 Myrtle Beach, SC
2956 627 186034 Nacogdoches, TX
2112 2888 14671 Nagoya, Japan
396 2946 49921 Nagpur, India
626 2942 132069 Naha, Okinawa, Japan
2918 1720 30127 Nanaimo, BC, Canada
2706 2017 124367 Nancy, France
2904 2741 137184 Nanjing, China
1015 2177 124827 Nantes, France
720 33 47334 Nanticoke, PA
2619 1561 24469 Nantucket, MA
2895 1516 66255 Napa, CA
2685 628 58730 Napier, New Zealand
2905 1023 55092 Naperville, IL
654 1649 51183 Naples, FL
2635 1567 165838 Naples, Italy
87 1272 100290 Narragansett, RI
1953 1176 82972 Nashua, NH
1010 2190 28039 Nashville, AR
2883 2910 30185 Nashville, TN
593 2528 134204 Nassau, Bahamas, WI
960 2422 35243 Natal, Brazil
1954 2107 77059 Natchez, MS
2835 2012 145250 Natchitoches, LA
661 2666 55130 Natick, MA
1429 2301 159534 Naugatuck, CT
916 2387 44299 Naumburg/Saale, Germany
2421 1340 122649 Nazareth, Israel
665 2349 68623 Ndola, Zambia
1086 2232 62560 Needham, MA
1539 2824 31068 Neenah, WI
552 783 192533 Neillsville, WI
1080 2736 132989 Nelson, New Zealand
2236 2571 67106 Nelson Bay, NSW, Australia
1415 231 44806 Netanya, Israel
2242 1659 198155 Netphen, Germany
1635 2575 157280 Neustadt a/d Weinstrasse, Germany
2299 1995 46547 Nevada, MI
1139 2660 3141 Nevers, France
2168 745 151887 New Bedford, MA
107 2283 140119 New Bethlehem, PA
573 2834 192307 New Braunfels, TX
461 914 174706 New Britain, CT
2456 149 146044 New Brockton, AL
462 1564 161412 New Brunswick, NJ
1134 805 71993 New Canaan, CT
1107 2439 43624 New Castle, DE
466 1738 176596 New Castle, PA
1164 2876 153879 New Haven, CT
1211 2044 3511 New Haven, MO
489 2150 155678 New Hyde Park, NY
2591 2723 144582 New Iberia, LA
2476 183 5467 New Johnsonville, TN
2096 2638 15390 New Orleans, LA
1287 100 119603 New Port Richey, FL
708 1233 173232 New Roads, LA
1788 2339 135813 New Tripoli, PA
2442 2804 51644 New York, NY
2091 968 43373 Newark, CA
1399 2178 179624 Newark, NJ
1452 2667 122956 Newberg, OR
787 2258 104437 Newburgh, IN
2956 1733 116598 Newburgh, NY
38 829 92427 Newcastle, Australia
269 2115 99032 Newcastle, England
2063 2823 181216 Newent, England
1661 1610 137134 Newmarket, England
698 1052 124065 Newmarket, ON, Canada
1473 143 188557 Newnan, GA
2124 1542 133749 Newport, TN
1818 2993 111526 Newport, OR
662 780 62009 Newport, RI
2229 735 177504 Newport Beach, CA
978 773 32716 Newport News, VA
2364 1041 173687 Newry, ME
850 103 161831 Newton, NC
568 1764 69138 Newtown, PA
2625 2462 139233 Niagara Falls, Canada
1486 935 148711 Nice, France
1314 58 51452 Niceville, FL
321 1876 50964 Nicosia, Cyprus
1993 2538 102927 Nijmegen, Netherlands
2924 1766 151920 Niles, MI
2586 2744 3411 Nee!, France
77 2107 72788 Ninety Six, SC
2682 2957 79654 Nipomo, CA
2110 524 197241 Nixon, TX
147 149 161361 Noblesville, IN
2235 1634 23657 Nome, AK
1466 2948 27502 Noordwijk, Netherlands
2238 268 152520 Norcross, GA
2 2261 121666 Norfolk, NE
1546 2184 39377 Norfolk, VA
825 1770 22249 Norfolk Island, Australia/Pacific
876 1846 162710 Noril'sk, Russia
1968 1528 159789 Norman, OK
163 637 194704 Norristown, PA
121 783 4588 NorrkPing, Sweden
2542 18 113505 Norseman, W.Australia
2896 1483 110013 North Attleboro, MA
309 720 127858 North Battleford, SSK, Canada
2597 722 78568 North Bay, ONT, Canada
1422 2267 24151 North Bennington, VT
2012 92 142110 North East, MD
2346 967 65160 North Grosvenordale, CT
1787 2934 166989 North Haledon, NJ
1184 96 9427 North Haven, CT
1104 217 61610 North Hollywood, CA
1173 2758 62773 North Palm Beach, FL
2876 2654 161625 North Platte, NE
1526 2962 9618 North Port, FL
444 2559 57715 North Tonawanda, NY
1622 980 8844 North Wales, PA
1984 2992 14923 North Wilkesboro, NC
1116 2337 79364 Northam, W.Australia
2093 1124 74953 Northampton, England
1598 2307 81345 Northampton, MA
1740 410 95780 Northampton, PA
2664 1583 79620 Northeim, Germany
605 1458 56521 Northome, MN
30 2983 53985 Northridge, CA
174 426 24531 Norwalk, CT
1040 2048 89827 Norway, ME
1172 1032 89247 Norwood, NC
1396 2147 45043 Norwich, CT
2587 1240 119921 Norwich, England UK
711 2838 73671 Nottingham, England
1931 1577 100998 Nouma, New Caledonia
368 1240 6489 Novato, CA
1562 1845 103648 Novi Sad, Yugoslavia (form.)
2410 1874 102488 Novosibirsk, Russia
220 2048 130867 Nuneaton, England
588 87 67352 Nuremberg, Germany
1935 1259 136094 Nrtingen, Germany
274 2654 79201 Nuuk (Godthb), Greenland/Denmark
949 2240 161834 Nykping, Sweden
2748 2951 150981 Oak Forest, IL
853 1881 56068 Oak Harbor, WA
2368 2249 138706 Oak Ridge, NJ
2465 810 61667 Oak Ridge, TN
1020 220 186574 Oak View, CA
2558 439 123046 Oakdale, CT
1521 1026 128796 Oakland, CA
2531 2960 12670 Oakland, NJ
1572 234 189588 Oakville, ON, Canada
2760 1182 138916 Oamaru, SI, New Zealand
2188 930 135605 Oaxaca, Mexico
1452 1783 61000 Oberlin, OH
2293 1151 10881 Ocala, FL
1374 616 64868 Ocean City, NJ
2299 1635 79480 Ocean Springs, MS
2098 1192 108703 Oceanside, CA
943 2712 177066 Ocklawaha, FL
2875 2243 174396 Odenton, MD
65 814 189939 Odessa, TX
2909 574 68739 Odessa, Ukraine
1993 2761 130715 Odessa, WA
1027 1213 49537 Ogden, UT
1942 506 126205 Oinville-sous-Auneau, France
2105 1880 167206 Ojai, CA
78 1178 76188 Okinawa, Japan
1270 275 155639 Oklahoma City, OK
2901 1218 136425 Olathe, KS
2557 1093 85898 Oldcastle, Ireland
2173 1158 140152 Olin, IA
2022 1066 178386 Olivia, MN
53 58 162435 Olympia, WA
2014 1085 43279 Omaha, NE
2757 26 76985 Onancock, VA
1650 2131 2260 Oneonta, NY
1158 2208 80770 Ontario, CA
2301 478 99087 Oporto/Porto, Portugal
1635 378 180257 Opotiki, New Zealand
682 2935 53076 Orange, CA
1970 2107 130213 Oranjestad, Nethrlds. Antilles
1072 1128 1256 Orchard Park, NY
748 1181 5120 rebro, Sweden
185 194 77409 Orem, UT
834 2950 79122 Orense, Spain
1989 1599 21140 Orinda, CA
2022 2756 168329 Orlando, FL
234 2056 114650 Orleans, France
691 381 94907 Oroville, CA
1372 315 147982 Osage Beach, MO
342 2422 78195 Osaka, Japan
1413 549 79451 Osan, South Korea
2161 1729 84571 Oshawa, Canada
2345 1923 161979 Oshkosh, WI
178 1872 41101 Oslo, Norway
2166 471 62240 Osnabrck, Germany
1188 226 30569 Ossining, NY
1422 2282 30740 Ossipee, NH
141 2973 56105 Osterhofen, Germany
1565 1345 77085 Ostersund, Sweden
785 1686 38493 Ostrava, Czech Republic
1958 99 75083 Otego, NY
149 2259 190346 Otley, England
1418 1604 118489 Ottawa, Canada
848 1782 43253 Ottawa, IL
1464 948 74588 Ottumwa, IA
2398 2135 89646 Oulu, Finland
2856 557 41767 Ovid, MI
317 698 39930 Oviedo, Spain
1159 2262 129538 Owosso, MI
2315 46 41892 Owatonna, MN
2893 2004 48443 Owen Sound, Canada
1019 2153 199029 Owensboro, KY
874 570 105919 Oxford, CT
2651 1417 24666 Oxford, MI
300 2881 87802 Oxford, MS
1419 2278 30123 Oxford, England
2764 2134 67192 Ozark, AL
390 2451 113660 Ozark, IL
989 610 64432 P'ohang, South Korea
2932 2924 67490 Pacific, MO
561 2817 1030 Paderborn, Germany
1287 835 144501 Paducah, KY
1273 1709 182476 Page, AZ
2861 1360 76932 Pagosa Springs, CO
231 1659 68970 Paia, HI
1548 78 20830 Paintsville, KY
2000 2841 163080 Pakenham, VC, Australia
8 231 126460 Palatine, IL
1713 1219 167074 Palermo, Italy
2679 1151 162006 Palestine, TX
692 1711 149749 Palm Bay, FL
707 2998 5385 Palm Beach Gardens, FL
2875 1270 119259 Palm Coast, FL
2612 1131 9861 Palm Springs, CA
766 1362 120442 Palma de Mallorca, Spain
1800 2910 125591 Palmdale, CA
2113 1909 114953 Palmerston North, New Zealand
1559 1917 130294 Palo Alto, CA
456 630 11543 Palominas, AZ
2962 309 88239 Pamplona, Spain
2392 1000 2273 Panama City, Panama
1638 1707 2089 Panama City, FL
1719 1581 86715 Papeete, Tahiti, Fr. Polynesia
508 1192 162068 Paradise, CA
656 1958 52816 Paramaribo, Suriname
2463 758 46758 Paramount, CA
1346 2870 174017 Paramus, NJ
71 1429 101786 Paris, France
2025 1884 143723 Paris, TN
2198 1846 164260 Parkes, Australia
522 1237 30886 Parksley, VA
556 2875 144631 Partiznske, Slovakia
587 1594 49995 Pasadena, CA
1888 2101 129455 Passaic, NJ
1319 2757 59941 Paterson, NJ
2111 2219 110422 Patos de Minas, Brazil
2813 565 101728 Patuxent River N.A.S., MD
2423 635 196939 Payson, AZ
950 2659 122515 Peabody, MA
105 1857 45527 Peachtree City, GA
2569 2378 127983 Pearl River, NY
33 2934 119629 Peguis, MN, Canada
2202 521 25850 Peekskill, NY
2952 2408 165906 Pekin, IL
1894 726 149656 Pembroke, MA
2793 2837 97542 Pembroke, ON, Canada
1449 2649 135156 Pembroke Pines, FL
2975 2072 177448 Penang, Malaysia
2929 21 154713 Pendleton, OR
1767 125 78493 Penn Yan, NY
2450 2694 37026 Pensacola, FL
1370 2726 32584 Penticton, BC, Canada
164 1928 67258 Peoria, IL
552 1879 27761 Pereira, Colombia
40 773 76160 Perpignan, France
2285 565 65272 Perris, CA
748 2014 41853 Perry, FL
2776 1988 179920 Perrysburg, OH
2437 1917 181259 Perth, Australia
1758 683 189590 Peru, IL
2935 133 169174 Pescadero, CA
491 1502 150896 Petaling Jaya, Malaysia
980 1665 79386 Petaluma, CA
1988 2216 4640 Peterborough, S. Australia
2405 2256 56111 Peterborough, Canada
547 1541 93740 Peterborough, England
1526 2289 27948 Petersburg, VA
2154 2064 160464 Petoskey, MI
1853 1500 88225 Philadelphia, PA
1572 258 133747 Phoenix, AZ
1416 193 142556 Phoenixville, PA
953 683 42635 Picayune, MS
217 1662 153612 Pickering, ON, Canada
1407 650 101336 Pietermaritzburg, South Africa
1477 54 51714 Pikeville, KY
2319 601 154400 Pilot Point, TX
725 2127 106936 Pinckney, MI
1144 1280 44477 Piracicaba, SP, Brazil
551 132 144471 Piraeus, Greece
1874 1704 161630 Pirot, Serbia
880 119 174447 Pisa, Italy
19 1071 19947 Piscataway, NJ
658 1287 130715 Pithiviers, France
2962 2694 174006 Pittsburgh, CA
1483 1171 177582 Pittsburgh, PA
2258 489 17602 Pittsfield, IL
1574 1213 159338 Pittsfield, MA
178 2356 44642 Piura, Peru
845 2907 53435 Placentia, CA
12 1780 166973 Plainfield, IL
2437 2660 174848 Plainville, CT
2054 2679 46232 Plano, TX
2353 336 132020 Plantation, FL
1313 298 111600 Plattsburgh, NY
924 1780 189609 Plattsmouth, NE
587 1038 22159 Pleasant Grove, UT
851 2612 102989 Pleasant Hill, CA
241 2790 60047 Pleasanton, CA
911 634 53796 Plymouth, England
1712 646 172460 Plymouth, IN
1217 83 149787 Plymouth, MA
840 2136 128333 Plymouth, NH
1533 1488 150731 Pocahontas, AR
514 2801 170594 Pocatello, ID
2188 724 89257 Poos de Caldas, Brazil
2032 1311 158434 Poitiers, France
2364 2162 132523 Polk City, FL
909 2402 118460 Polo, IL
1810 313 160722 Ponca City, OK
2617 2025 3777 Ponce, Puerto Rico
2203 242 9257 Poncha Springs, CO
1450 1081 151607 Ponta Delgada, Portugal
375 2614 50776 Ponte-Pitre, Guadeloupe
2636 127 37475 Ponte Vedra, FL
2195 2314 85712 Pontiac, MI
534 1345 173068 Poole, England
2910 708 117143 Poplar Bluff, MO
1898 1617 77276 Pori, Finland
675 426 98109 Portage-la-Prairie, MN, Canada
86 42 33074 Port Alberni, BC, Canada
143 2245 49145 Port Angeles, WA
281 695 121169 Port Arthur, TX
2556 1069 95377 Port Charlotte, FL
317 705 103790 Port Chester, NY
879 2900 58005 Port Clinton, OH
2165 433 147633 Port Deposit, MD
1761 343 194832 Port Elizabeth, South Africa
518 2241 102590 Port Erin, England
1677 2915 130954 Port Gentil, Gabon, West Africa
149 1 133719 Port Hedland, Australia
645 143 83345 Port Huron, MI
1382 424 129618 Port Isabel, TX
200 2979 108658 Port Jefferson, NY
296 718 12448 Port Jervis, NY
1174 617 70453 Port Laoise, Ireland
339 1049 18085 Port Louis, Mauritius
2100 1392 12917 Port Moresby, Papua New Guinea
2617 632 115506 Port-of-Spain, Trinidad & Tobago, W.Indies
1294 547 46460 Port Orchard, WA
1442 547 180179 Port Richey, FL
2087 689 63523 Port St. Lucie, FL
469 1113 193141 Port Sydney, ON, Canada
668 1091 194012 Port Townsend, WA
2298 1386 41846 Port Washington, NY
2484 2560 82947 Port Washington, WI
541 2899 152877 Portage, IN
812 1998 45630 Portage, WI
1006 1614 87722 Porterville, CA
2739 2908 124132 Portici, Italy
436 1350 160558 Portland, ME
138 436 6476 Portland, OR
1091 904 80618 Porto Alegre, Brazil
988 1572 153322 Portree, Scotland
899 869 45704 Portsmouth, England
1526 353 16351 Portsmouth, OH
2770 894 9566 Portsmouth, NH
2064 1706 142715 Poteau, OK
2748 2711 50310 Potsdam, NY
1064 2450 44139 Pottsville, PA
2926 2885 134097 Poughkeepsie, NY
2334 23 163152 Poulsbo, WA
2431 1114 23416 Powell River, BC, Canada
641 2101 128170 Poynette, WI
2940 2999 186073 Pozega, Croatia
626 1525 9572 Poznan, Poland
871 1295 69117 Prague, Czech Republic
1015 358 182795 Prairie City, OR
155 106 163522 Prattville, AL
910 1169 126803 Prescott, AZ
1572 1094 119098 Presque Isle, WI
584 428 120585 Preston, LCS, England
31 2859 194788 Prestwick, Scotland UK
382 499 134846 Pretoria, South Africa
2305 438 134772 Price, UT
